,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
76,95,"BLEED FOR THIS is the incredible true story of one of the most inspiring and unlikely comebacks in sports history. Miles Teller (Whiplash, Divergent) stars as Vinny ""The Pazmanian Devil"" Pazienza, a local Providence boxer who shot to stardom after winning two world title fights. After a near-fatal car accident leaves Vinny with a broken neck, he is told he may never walk again. Against all odds and doctor's orders, renowned trainer Kevin Rooney (Aaron Eckhart) agrees to help Vinny return to the ring just a year after the accident for what could be the last fight of his life.",R,Drama|Sports and Fitness,Ben Younger,Ben Younger,"Nov 18, 2016","Feb 14, 2017",$,5051927,116 minutes,Open Road Films
86,108,"A picture-perfect family moves into an upscale community, impressing the locals and integrating themselves into every aspect of the community until a sudden tragedy forces them to reassess their priorities. Steve (David Duchovny) and Kate Jones (Demi Moore) have everything a happily married couple could ever want: their kids, Jenn (Amber Heard) and Mick (Ben Hollingsworth), are intelligent and attractive, they live in an affluent neighborhood, and their sprawling suburban home is jam-packed with all of the coolest gizmos and gadgets that money can buy. It isn't long before the Joneses have struck up a friendship with their next-door neighbors Larry (Gary Cole) and Summer (Glenne Headly), and become integral components of their community. But take a closer look at the situation and you'll start to see something ominous lurking just beneath the surface. It's only when the Joneses are confronted with an unexpected disaster that they finally discover who they really are beneath the glossy veneer of consumerism.",R,Comedy|Drama|Kids and Family,Derrick Borte,Derrick Borte,"Apr 16, 2010","Aug 10, 2010",$,1000000,93 minutes,Roadside Attractions
97,124,"In present-day London, twelve-year-old Quinn watches as his mother, a construction engineer inadvertently wakes an enormous fire-breathing beast from its centuries-long slumber. Twenty years later, much of the world has been scarred by the beast and its offspring. As a fire chief, Quinn is responsible for warding off the beasts and keeping a small community alive as they eke out a meager existence. Into their midst comes a hotshot American, Van Zan, who says he has a way to kill the beasts and save mankind--a way Quinn's never seen done.",PG-13,Action and Adventure|Science Fiction and Fantasy,Rob Bowman,Terry Hayes|Kevin Peterka|Gregg Chabot|Matthew Greenberg|Matt Greenberg,"Jul 12, 2002","Nov 19, 2002",$,42929971,101 minutes,Buena Vista Distribution Compa
106,136,"In CASE 39, family services social worker Emily Jenkins (Ren",R,Horror|Mystery and Suspense,Christian Alvart,Ray Wright,"Oct 1, 2010","Jan 4, 2011",$,13248477,109 minutes,Paramount Studios
120,153,"Meet the kid who made ""wimpy"" cool in a family comedy based on the best-selling illustrated novel Diary of a Wimpy Kid by Jeff Kinney, the first in a series that has thus far sold 24 million copies. ""Diary of a Wimpy Kid"" chronicles the adventures of wise-cracking pre-teen Greg Heffley, who must somehow survive the scariest time of anyone's life: middle school.",PG,Comedy|Kids and Family,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,"Mar 19, 2010","Aug 3, 2010",$,64001297,93 minutes,20th Century Fox
121,155,"Taking place over the course of one night, The Anniversary Party is a serio-comic, sometimes scathing inspection of a group of friends. Joe and Sally Therrian have a party to celebrate several important junctures in their marriage: their sixth anniversary, their decision to start a family and their reconciliation after a yearlong separation. They have invited their closest friends, their past and current temptations, and (to avoid a lawsuit) their contentious neighbors. An unexpected gift sends the party spiraling out of control and unleashes an explosion of painful confessions. The celebration becomes a scorching dissection of a marriage on the brink.",R,Comedy|Drama,Jennifer Jason Leigh|Alan Cumming,Jennifer Jason Leigh|Alan Cumming,"Jun 8, 2001","Jan 15, 2002",$,2974308,115 minutes,Fine Line Features
123,158,"The film tells the inspiring true story of how Nelson Mandela joined forces with the captain of South Africa's rugby team to help unite their country. Newly elected President Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's underdog rugby team as they make an unlikely run to the 1995 World Cup Championship match.",PG-13,Drama|Sports and Fitness,Clint Eastwood,Anthony Peckham,"Dec 11, 2009","May 18, 2010",$,37431431,134 minutes,Warner Bros. Pictures
125,160,"""The Vertical Limit"" is a high-adrenaline tale of a young climber who must launch a treacherous and extraordinary rescue effort up K-2, the world's second highest peak, to save his sister and her summit team in a race against time.",PG-13,Action and Adventure|Drama,Martin Campbell,Robert King|Terry Hayes,"Dec 8, 2000","May 22, 2001",$,67771442,124 minutes,Columbia Pictures
139,182,"When their new guardians forbid 16-year old Andi and her younger brother, Bruce to have a pet, Andi has to use her quick wit to help find a new home for their dog, Friday. The resourceful kids stumble upon an abandoned hotel and using Bruce's talents as a mechanical genius, transform it into a magical dog-paradise for Friday--and eventually for all Friday's friends. When barking dogs make the neighbors suspicious, Andi and Bruce use every invention they have to avoid anyone discovering ""who let the dogs in.""",PG,Action and Adventure|Comedy|Kids and Family,Thor Freudenthal,Jeff Lowell|Lois Duncan|Robert Schooley|Mark McCorkle,"Jan 16, 2009","Apr 28, 2009",$,73023275,100 minutes,Dreamworks Pictures
144,188,"From the producers of Little Miss Sunshine - When an unusual classified ad inspires three cynical Seattle magazine employees to look for the story behind it, they discover a mysterious eccentric named Kenneth, a likable but paranoid supermarket clerk, who believes he's solved the riddle of time travel and intends to depart again soon. Together, they embark on a hilarious, smart, and unexpectedly heartfelt journey that reveals how far believing can take you. -- (C) Official Site",R,Comedy|Drama,Colin Trevorrow,Derek Connolly,"Jun 8, 2012","Oct 30, 2012",$,4007792,86 minutes,Film District
146,191,"Award-winning filmmaker Rakeysh Omprakash Mehra (writer/director of the BAFTA-nominated Rang De Basanti starring Aamir Khan) returns with his newest film BHAAG MILKHA BHAAG telling the true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh. Played by acclaimed actor Farhan Akhtar, Singh overcame the bloody massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes. (c) Reliance Entertainment",NR,Drama,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra,Prasoon Joshi,"Jul 12, 2013","Jan 12, 2015",$,1626289,188 minutes,Reliance Entertainment
151,196,"A multi-millionaire plans a scam that goes wrong in a great many ways in this comedy. Malcolm King (Anthony Anderson) is a wildly successful businessman who has gotten used to having things his own way. When King decides to divorce his wife, she's none too thrilled at the prospect and makes it clear she will make him pay a huge settlement in exchange for his freedom. King isn't keen on this idea, so he and his mistress hatch a scheme by which one of her friends (Jay Mohr) will ""kidnap"" King and demand a large portion of his fortune for his return, which will be kicked back to the businessman later. But King seriously underestimates the ineptitude of his would-be kidnapper -- no to mention how many other people want a piece of his fortune. King's Ransom also stars Regina Hall, Leila Arcieri, Charlie Murphy, and Donald Faison.",PG-13,Comedy,Jeff Byrd,Wayne Conley,"Apr 22, 2005","Jul 26, 2005",$,3998889,98 minutes,WARNER BROTHERS PICTURES
160,211,"Set in rural America in 1964, an immigrant and single mother who works at a factory takes refuge from her hardships by imagining herself and her co-workers in Hollywood musicals.",R,Drama|Musical and Performing Arts,Lars von Trier,Lars von Trier,"Sep 23, 2000","Mar 20, 2001",$,2839256,137 minutes,Fine Line Features
165,218,"A disturbing videotape appears to hold the power of life and death over those who view it in this offbeat thriller. A strange videotape begins making the rounds in a town in the Pacific Northwest; it is full of bizarre and haunting images, and after watching it, many viewers receive a telephone call in which they are warned they will die in seven days. A handful of teenagers who watched the tape while spending a weekend at a cabin in the mountains scoff at the threat, but as predicted, they all die suddenly on the same night. Rachel Keller (Naomi Watts), the aunt of one of the ill-fated teens, is a journalist who has decided to investigate the matter and travels West with her young son, Aidan (David Dorfman), a troubled child who has been drawing pictures of strange and ominous visions. Rachel managed to find the cabin in the woods and watches the video herself; afterward, she receives the same phone call, and realizes she must solve the puzzle of the video and the person or persons behind it within a week. Rachel turns to her ex, Noah (Martin Henderson), an expert in video technology, who at first is convinced the story is a hoax until he digs deeper into the mystery. The Ring was adapted from a 1996 Japanese film by Hideo Nakata, which became a massive box-office success in Asia and spawned two sequels.",PG-13,Drama|Horror|Mystery and Suspense|Romance,Gore Verbinski,Ehren Kruger,"Oct 18, 2002","Mar 4, 2003",$,128579698,115 minutes,DreamWorks SKG
188,249,"To save his son from ruthless gangsters, a streetwise ex-con finds himself coerced into performing a series of crimes in this gritty thriller. Waist Deep features Tyrese Gibson as O2, a young father and recent parolee whose life on the outside is upended when his young son Junior is taken hostage after an auto-theft gone wrong. After learning that his boy is in the hands of a mob boss named Meat (The Game), O2 is forced to break the law once again to satisfy his demands, and teams up with Coco (Meagan Good), a hooker with ties to Meat, to get into the gangster's inner sanctum and save his son. Waist Deep marked the acting debut of rapper The Game.",R,Action and Adventure|Drama,Stan Lathan|Vondie Curtis-Hall,Vondie Curtis-Hall|Darin Scott,"Jun 23, 2006","Oct 10, 2006",$,21318194,97 minutes,Focus Features
189,250,"BYZANTIUM is director Neil Jordan's (Interview with the Vampire, The Crying Game) sexy and stylish fantasy thriller about mother and daughter vampires dealing with the pitfalls of eternal life. Two mysterious women seek refuge in a run-down coastal resort. Clara (Gemma Arterton) meets lonely Noel (Daniel Mays), who provides shelter in his deserted guesthouse, Byzantium. Schoolgirl Eleanor (Saoirse Ronan, Hanna, Atonement) befriends Frank (Caleb Landry Jones) and tells him their lethal secret: They were born 200 years ago and survive on human blood. As knowledge of their secret spreads, their past catches up on them with deathly consequence. Also starring Sam Riley and Jonny Lee Miller. (c) IFC",R,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,Neil Jordan,Moira Buffini,"Jun 28, 2013","Oct 29, 2013",$,84293,118 minutes,IFC Films
190,251,"In this adaptation of the novel ""The Price of Salt"" by Patricia Highsmith, Therese (Rooney Mara), a young department-store clerk in 1950s Manhattan, meets Carol (Cate Blanchett), a beautiful older woman stuck in a depressing marriage of convenience. As their bond deepens and they become romantically involved, Carol finds the strength to leave her husband (Kyle Chandler). Unfortunately, her spouse starts to raise questions about her fitness as a mother when he realizes that Carol's relationships with her best friend Abby (Sarah Paulson) and Therese are more than just friendships. Directed by Todd Haynes.",R,Drama|Romance,Todd Haynes,Phyllis Nagy,"Nov 20, 2015","Mar 15, 2016",$,8518148,118 minutes,The Weinstein Company
198,263,"Taking his cue from such 1970s horror classics as The Texas Chainsaw Massacre (1974) and The Hills Have Eyes (1977), animated rocker Rob Zombie goes celluloid with the throwback shocker House of 1000 Corpses. Running low on gas as they travel the highways of America in search of the ultimate roadside attraction, a group of teens pull into Captain Spaulding's (Sid Haig) museum of oddities (which also offers fried chicken and gasoline) only to become obsessed with uncovering the mystery of a legendary local maniac known only as Dr. Satan. When an attractive and mysterious hitchhiker subsequently offers to give the thrill seekers a personal tour of Dr. Satan's old stabbing grounds, a breakdown forces them to take refuge with a group of menacing oddballs as a fearsome storm rages outside. As the evening progresses and the backwoods hosts' Halloween festivities become ever more threatening, the teens soon realize that the legend of Dr. Satan may hold a bit more contemporary weight than any of them had previously thought.",R,Horror,Rob Zombie,Rob Zombie,"Apr 11, 2003","Aug 12, 2003",$,12583510,88 minutes,Lions Gate Films Inc.
201,267,"A serial dater afflicted with a lifelong curse of loneliness attempts to win the love of a clumsy but beautiful penguin expert in the one romantic comedy that proves true love never comes easy. As a ten-year-old boy, Charlie (Dane Cook), breaks the cardinal rule of spin-the-bottle by refusing to kiss a demented goth girl. Crushed by the disheartening snub and determined to ensure that Charlie never finds true love, the vengeful brooder places a hex on the cowardly rule breaker that follows him well into his adult life. Flash-forward 20 years, and Charlie is a successful dentist who just can't seem to maintain a stable relationship. Sure he's had his fair share of one-night stands, but these days Charlie is just looking to find a nice girl he can settle down with. One day, while attending an ex-girlfriend's wedding, Charlie realizes that every girl he has ever dated has proceeded to find true love with the very next man they've met. When word gets out that Charlie is something of a lucky charm for women looking to tie the knot, every women within a 100-mile radius comes calling for a one-night stand; and while taking a bevy of beauties to bed is fun for the time being, it doesn't take long for Charlie to realize just how empty sex can be without true love. Upon meeting hard-to-get aquatic bird specialist Cam (Jessica Alba), Charlie begins to suspect that he has found the woman of his dreams. Cam is the kind of woman whom Charlie would be happy to grow old with, but what will come of their relationship if Charlie and Cam sleep together? Now, in order to ensure that Cam doesn't end up with the next guy she meets, Charlie will finally attempt to break the curse that has plagued him since childhood. Perhaps with a little help from smooth-talking ladies' man and sympathetic best friend Stu (Dan Fogler), Charlie will finally be able to experience true happiness.",R,Comedy,Mark Helfrich,Josh Stolberg,"Sep 21, 2007","Jan 15, 2008",$,35000629,101 minutes,Lionsgate Films
214,281,"Seth MacFarlane directs, produces, co-writes and plays the role of the cowardly sheep farmer Albert in A Million Ways to Die in the West. After Albert backs out of a gunfight, his fickle girlfriend leaves him for another man. When a mysterious and beautiful woman rides into town, she helps him find his courage and they begin to fall in love. But when her husband, a notorious outlaw, arrives seeking revenge, the farmer must put his newfound courage to the test. Starring alongside MacFarlane are Oscar (R) winner Charlize Theron, Liam Neeson, Amanda Seyfried, Giovanni Ribisi, Sarah Silverman and Neil Patrick Harris. MacFarlane reunites many of the filmmakers behind Universal and MRC's hit film Ted including Scott Stuber (Bluegrass Films) and Jason Clark who produce, and Wellesley Wild and Alec Sulkin who co-wrote the script. (c)Universal",R,Comedy|Western,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,"May 30, 2014","Oct 7, 2014",$,37331031,116 minutes,Universal Pictures
218,285,"An all new feature film from the twisted minds of cult comedy heroes Tim Heidecker and Eric Wareheim (Tim and Eric Awesome Show, Great Job)",R,Comedy,Tim Heidecker|Eric Wareheim,Doug Lussenhop|Tim Heidecker|Jonathan Krisel|Eric Wareheim,"Mar 2, 2012","May 8, 2012",$,145778,94 minutes,Magnolia Pictures
223,290,Get ready to go deeper undercover with Ricardo Tubbs (Jamie Foxx) and Sonny Crockett (Colin Farrell) in this Unrated Director's Edition that includes footage not seen in theaters,R,Action and Adventure|Drama,Michael Mann,Michael Mann,"Jul 28, 2006","Dec 5, 2006",$,63400000,132 minutes,Universal Pictures
230,300,"Liz Gilbert had everything a modern woman is supposed to dream of having -- a husband, a house, a successful career -- yet like so many others, she found herself lost, confused, and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali.",PG-13,Drama,Ryan Murphy,Ryan Murphy|Jennifer Salt,"Aug 13, 2010","Nov 23, 2010",$,80574010,133 minutes,Sony Pictures
231,301,"From writer/director David Koepp (Stir of Echoes) comes this filmed adaptation of Stephen King's novella Secret Window, Secret Garden, one of four stories in the collection Four Past Midnight. Johnny Depp stars as Mort Rainey, a recently divorced author who decides to take some time off at his cottage. Unfortunately for Rainey, John Shooter (John Turturro), an unbalanced wannabe writer, tracks him down, claiming that Rainey plagiarized his work. Also starring Maria Bello, Charles S. Dutton, and Timothy Hutton, Secret Window is the second story from Four Past Midnight to be adapted as a film, the first being 1995's made-for-television The Langoliers.",PG-13,Drama|Mystery and Suspense,David Koepp,David Koepp,"Mar 12, 2004","Jun 22, 2004",$,47781388,95 minutes,Columbia Pictures
234,304,"Friends with Kids is a daring and poignant ensemble comedy about a close-knit circle of friends at that moment in life when children arrive and everything changes. The last two singles in the group observe the effect that kids have had on their friends' relationships and wonder if there's a better way. They decide to have a kid together - and date other people. There are big laughs and unexpected emotional truths as this unconventional 'experiment' leads everyone in the group to question the nature of friendship, family and, finally, true love. -- (C) Official Site",R,Comedy|Drama,Jennifer Westfeldt,Jennifer Westfeldt,"Mar 9, 2012","Jul 17, 2012",$,5600000,107 minutes,Roadside Attractions
242,313,"Set against the backdrop of 1970's Texas Hill Country, AIN'T THEM BODIES SAINTS is a romantic American story that follows three characters on various sides of the law - outlaw Bob Muldoon (Casey Affleck), his wife Ruth Guthrie (Rooney Mara), and a local sheriff named Patrick Wheeler (Ben Foster), who gets caught in their crosshairs. The film, which is the second feature from writer-director David Lowery, was developed at the Sundance Institute's Writing and Producing Labs and also stars Nate Parker and Keith Carradine. The film received the U.S. Dramatic Cinematography Award at the 2013 Sundance Film Festival. (c) IFC",R,Drama,David Lowery,David Lowery,"Aug 16, 2013","Dec 17, 2013",$,200000,105 minutes,IFC Films
246,321,"Unlimited funds have allowed Diana (McCarthy) to live it up on the outskirts of Miami, where the queen of retail buys whatever strikes her fancy. There's only one glitch: The ID she's using to finance these sprees reads ""Sandy Bigelow Patterson""....and it belongs to an accounts rep (Bateman) who lives halfway across the U.S. With only one week to hunt down the con artist before his world implodes, the real Sandy Bigelow Patterson heads south to confront the woman with an all-access pass to his life. And as he attempts to bribe, coax and wrangle her the 2,000 miles to Denver, one easy target will discover just how tough it is to get your name back. -- (C) Official Site",R,Comedy,Seth Gordon,Craig Mazin,"Feb 7, 2013","Jun 4, 2013",$,134455175,111 minutes,Universal Pictures
247,322,"When her heart is stolen by a seductive stranger, a young woman is swept away to a house atop a mountain of blood-red clay: a place",R,Horror,Guillermo del Toro,Guillermo del Toro|Matthew Robbins|Lucinda Coxon,"Oct 16, 2015","Feb 9, 2016",$,25957696,119 minutes,Universal Pictures
249,326,"Unique improvisational techniques are employed to construct an intimate portrait of people's lives as a married couple that has remained happy over the years is surrounded, during the course of one year, by friends, colleagues and family members, all who suffer some degree of unhappiness.",PG-13,Comedy|Drama,Mike Leigh,Mike Leigh,"Dec 29, 2010","Jun 7, 2011",$,3200000,129 minutes,Sony Classics
259,337,"In 1937, Nanking stands at the forefront of a war between China and Japan. As the invading Japanese Imperial Army overruns China's capital city, desperate civilians seek refuge behind the nominally protective walls of a western cathedral. Here, John Miller (Christian Bale), an American trapped amidst the chaos of battle and the ensuing occupation takes shelter, joined by a group of innocent schoolgirls and thirteen courtesans, equally determined to escape the horrors taking place outside the church walls. Struggling to survive the violence and persecution wrought by the Japanese army, it is an act of heroism which eventually leads the seemingly disparate group to fight back, risking their lives for the sake of everyone. -- (C) Wrekin Hill",R,Art House and International|Drama|Special Interest,Yimou Zhang,Yan Geling,"Dec 21, 2011","Jul 10, 2012",$,308164,142 minutes,Wrekin Hill Entertainment
260,338,"""Hereafter"" tells the story of three people who are touched by death in different ways. George is a blue-collar American who has a special connection to the afterlife. On the other side of the world, Marie, a French journalist, has a near-death experience that shakes her reality. And when Marcus, a London schoolboy, loses the person closest to him, he desperately needs answers. Each on a path in search of the truth, their lives will intersect, forever changed by what they believe might -- or must -- exist in the hereafter.",PG-13,Drama|Mystery and Suspense,Clint Eastwood,Peter Morgan,"Oct 22, 2010","Mar 15, 2011",$,32741596,126 minutes,Warner Bros. Pictures
261,345,"When five struggling single moms put aside their differences to form a support group, they find inspiration and laughter in their new sisterhood, and help each other overcome the obstacles that stand in their way. (c) Lionsgate",PG-13,Comedy|Drama,Tyler Perry,Tyler Perry,"Mar 14, 2014","Jul 22, 2014",$,15986272,111 minutes,Lionsgate Films
269,355,"Crossing new lines and breaking old barriers, A HAUNTED HOUSE 2 is the sequel to the hilarious box-office hit starring Marlon Wayans as Malcolm who, after exorcising the demons of his ex, is starting fresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events. With spine-tingling tension and hilarious punch-lines A HAUNTED HOUSE 2 is inspired by the latest supernatural horror movie franchises and shows that this time... it's not just the house that's haunted",R,Comedy,Michael Tiddes,Marlon Wayans,"Apr 18, 2014","Aug 12, 2014",$,13710572,87 minutes,Open Road Films
270,356,"The film follows the second Earl of Rochester's adventures in London, from his passionate romance with a young actress, Elizabeth Barry, to the writing of a scurrilous play which blisteringly and bawdily lampoons the very monarch who commissioned it, Charles II, leading to the Earl's banishment and eventual downfall.",R,Drama,Laurence Dunmore,Stephen Jeffreys,"Mar 10, 2006","Jul 4, 2006",$,4756532,114 minutes,Weinstein Company
